time_created,perf_folder_name,bridge_node_ip,Name/Id,Total/IOs,W_IOPS,W_BW,W_Lat,W_Avg OIO,W_Avg Size,W_Rand %,W_Err,R_IOPS,R_BW,R_Lat,R_Avg OIO,R_Avg Size,R_Rand %,R_Err,R_Zero %,R_Cache %,R_Hydra %,R_SSD %,R_FAA %
2026-01-30 15:00:34,perf-stats-20260130-093001,10.222.61.87,10907017373:TestAndDev:6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 15:00:42,perf-stats-20260130-093001,10.222.61.86,10907017373:TestAndDev:6,47565,792.75,29.8,7512.0,5.96,38.4,90.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 15:00:38,perf-stats-20260130-093001,10.222.61.89,10907017373:TestAndDev:6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 15:00:40,perf-stats-20260130-093001,10.222.61.88,10907017373:TestAndDev:6,43931,732.18,34.2,6268.0,4.59,47.8,88.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 15:30:34,perf-stats-20260130-100001,10.222.61.87,10907017373:TestAndDev:6,42965,716.08,39.2,4930.0,3.53,56.1,85.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 15:30:42,perf-stats-20260130-100001,10.222.61.86,10907017373:TestAndDev:6,43045,717.42,39.1,556.0,3.63,55.8,85.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 15:30:39,perf-stats-20260130-100001,10.222.61.89,10907017373:TestAndDev:6,40021,667.02,56.7,510.0,3.34,87.1,85.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 15:30:40,perf-stats-20260130-100001,10.222.61.88,10907017373:TestAndDev:6,43437,723.95,39.7,4224.0,3.06,56.1,86.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:30:28,perf-stats-20260130-110001,10.222.61.87,10907017373:TestAndDev:6,54240,904.0,48.7,2329.0,2.11,55.2,86.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:30:35,perf-stats-20260130-110001,10.222.61.86,10907017373:TestAndDev:6,55320,922.0,48.2,2525.0,2.33,53.6,86.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
