time_created,perf_folder_name,bridge_node_ip,Name/Id,Total/IOs,W_IOPS,W_BW,W_Lat,W_Avg OIO,W_Avg Size,W_Rand %,W_Err,R_IOPS,R_BW,R_Lat,R_Avg OIO,R_Avg Size,R_Rand %,R_Err,R_Zero %,R_Cache %,R_Hydra %,R_SSD %,R_FAA %
2026-01-30 16:15:34,perf-stats-20260130-104502,10.222.61.86,10907017373:TestAndDev:6,59230,987.17,50.5 MiBps,1 ms 753 us,1.73,52.4 KiB,87.44,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:15:28,perf-stats-20260130-104502,10.222.61.87,10907017373:TestAndDev:6,57046,950.77,50.6 MiBps,1 ms 986 us,1.89,54.5 KiB,87.02,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:15:33,perf-stats-20260130-104502,10.222.61.89,10907017373:TestAndDev:6,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:30:32,perf-stats-20260130-110001,10.222.61.88,10907017373:TestAndDev:6,55061,917.68,50.4 MiBps,1 ms 913 us,1.76,56.3 KiB,86.2,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:30:33,perf-stats-20260130-110001,10.222.61.89,10907017373:TestAndDev:6,29813,496.88,71.1 MiBps,2 ms 99 us,1.04,146.5 KiB,85.02,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:30:28,perf-stats-20260130-110001,10.222.61.87,10907017373:TestAndDev:6,54240,904.0,48.7 MiBps,2 ms 329 us,2.11,55.2 KiB,86.23,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:30:35,perf-stats-20260130-110001,10.222.61.86,10907017373:TestAndDev:6,55320,922.0,48.2 MiBps,2 ms 525 us,2.33,53.6 KiB,86.32,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:45:36,perf-stats-20260130-111501,10.222.61.86,10907017373:TestAndDev:6,57256,954.27,48.5 MiBps,1 ms 942 us,1.85,52.1 KiB,86.96,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:45:29,perf-stats-20260130-111501,10.222.61.87,10907017373:TestAndDev:6,54286,904.77,49.7 MiBps,2 ms 117 us,1.92,56.2 KiB,86.24,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:45:33,perf-stats-20260130-111501,10.222.61.89,10907017373:TestAndDev:6,32134,535.57,71.8 MiBps,2 ms 758 us,1.48,137.4 KiB,84.5,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:45:34,perf-stats-20260130-111501,10.222.61.88,10907017373:TestAndDev:6,53005,883.42,49.4 MiBps,2 ms 243 us,1.98,57.3 KiB,85.49,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
2026-01-30 17:00:28,perf-stats-20260130-113001,10.222.61.87,10907017373:TestAndDev:6,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
2026-01-30 17:00:35,perf-stats-20260130-113001,10.222.61.86,10907017373:TestAndDev:6,54669,911.15,47.8 MiBps,1 ms 926 us,1.75,53.7 KiB,88.38,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
2026-01-30 17:00:33,perf-stats-20260130-113001,10.222.61.89,10907017373:TestAndDev:6,26810,446.82,40.5 MiBps,1 ms 948 us,0.87,92.9 KiB,86.78,0,0.02,273.0 Bps,6 ms 357 us,0.0,16.0 KiB,100.0,0,0.0,0.0,0.0,100.0,0.0
2026-01-30 17:00:34,perf-stats-20260130-113001,10.222.61.88,10907017373:TestAndDev:6,52255,870.92,48.1 MiBps,2 ms 32 us,1.77,56.6 KiB,87.46,0,0.0,0.0 Bps,0 us,0.0,0B,0.0,0,0.0,0.0,0.0,0.0,0.0
